Country/Other,Total Cases,New Cases,Total Deaths,New deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Total cases/1M Pop,Deaths/1M POP,Total Tests,Tests/1M POP,Populations,Continents,%inc cases,%inc Deaths,%inc recovered
Luxembourg,391076,-1.0,1232,-1.0,0,0.0,0,-1,608801.0,1918.0,4587145,7140959,642371,Europe,-0.00025570477349671166,-0.08116883116883117,
North Macedonia,350520,-1.0,9971,-1.0,337068,-1.0,3481,-1,168414.0,4791.0,2226216,1069626,2081304,Europe,-0.0002852904256533151,-0.010029084344599338,-0.00029667604162958216
Zambia,349304,-1.0,4069,-1.0,341316,-1.0,3919,-1,17940.0,209.0,4112961,211244,19470234,Africa,-0.0002862835810640588,-0.02457606291472106,-0.00029298362807486314
Kenya,344130,-1.0,5689,-1.0,337309,-1.0,1132,0,6122.0,101.0,3967062,70569,56215221,Africa,-0.000290587859239241,-0.017577781683951483,-0.00029646407300131335
Brunei ,343075,-1.0,225,-1.0,243601,-1.0,99249,-1,770209.0,505.0,717784,1611437,445431,Asia,-0.0002914814544924579,-0.4444444444444444,-0.0004105073460289572
Albania,334863,-1.0,3605,-1.0,330233,-1.0,1025,-1,116825.0,1258.0,1941032,677173,2866374,Europe,-0.0002986295888169191,-0.027739251040221912,-0.0003028164962314487
Botswana,330442,-1.0,2801,-1.0,327049,-1.0,592,1,135363.0,1147.0,2026898,830300,2441162,Africa,-0.0003026249689809407,-0.03570153516601214,-0.0003057645796195677
Montenegro,296492,-1.0,2846,-1.0,291794,-1.0,1852,0,472159.0,4532.0,2769281,4410034,627950,Europe,-0.000337277228390648,-0.035137034434293744,-0.00034270752654269794
Algeria,272010,-1.0,6881,-1.0,183061,-1.0,82068,-1,5998.0,152.0,230960,5093,45350148,Africa,-0.0003676335428844528,-0.014532771399505885,-0.0005462659987654388
Nigeria,267188,-1.0,3155,-1.0,259953,-1.0,4080,11,1233.0,15.0,5708974,26339,216746934,Africa,-0.0003742683054628202,-0.03169572107765452,-0.0003846849238131508
Zimbabwe,266328,-1.0,5737,-1.0,258888,-1.0,1703,12,17371.0,374.0,2525756,164744,15331428,Africa,-0.0003754768556066204,-0.01743071291615827,-0.0003862674206606718
Uzbekistan,253662,-1.0,1637,-1.0,241486,-1.0,10539,23,7378.0,48.0,1377915,40077,34382084,Asia,-0.0003942253865379915,-0.061087354917532075,-0.00041410268090075615
Mozambique,233731,-1.0,2250,-1.0,228805,-1.0,2676,11,7064.0,68.0,1371127,41437,33089461,Africa,-0.00042784226311443497,-0.044444444444444446,-0.00043705338607110864
Afghanistan,231950,-1.0,7985,-1.0,210064,-1.0,13901,-1,5691.0,196.0,1363756,33463,40754388,Asia,-0.00043112739814615223,-0.012523481527864746,-0.0004760453956889329
Martinique,230354,-1.0,1102,-1.0,0,0.0,0,0,615777.0,2946.0,828928,2215870,374087,North America,-0.0004341144499335805,-0.09074410163339383,
Laos,218948,-1.0,758,-1.0,0,0.0,0,-1,29267.0,101.0,1233207,164845,7481023,Asia,-0.00045672945174196616,-0.13192612137203166,
Iceland,209889,-1.0,229,-1.0,0,0.0,0,-1,607682.0,663.0,1996384,5780036,345393,Europe,-0.0004764423099828957,-0.43668122270742354,
Kyrgyzstan,206897,-1.0,2991,-1.0,196406,-1.0,7500,131,30750.0,445.0,1907195,283460,6728271,Asia,-0.00048333228611338006,-0.033433634236041454,-0.0005091494149873221
Guadeloupe,203235,-1.0,1021,-1.0,0,0.0,0,0,508349.0,2554.0,938039,2346306,399794,North America,-0.00049204123305533,-0.0979431929480901,
El Salvador,201855,-1.0,4230,-1.0,179410,-1.0,18215,-1,30816.0,646.0,2610114,398467,6550389,North America,-0.0004954051175348642,-0.02364066193853428,-0.0005573825316314587
Trinidad and Tobago,191496,-1.0,4390,-1.0,187078,-1.0,28,0,136143.0,3121.0,913289,649295,1406585,North America,-0.0005222041191460918,-0.022779043280182234,-0.0005345363965832434
